FormFactor file for OLIGOMER created from: EM_10mer.pdb EM_8mer.pdb
 0.1455000E+00  0.5846163E+07  0.4608439E+07
 0.1470000E+00  0.5637494E+07  0.4417756E+07
 0.1485000E+00  0.5432817E+07  0.4233213E+07
 0.1500000E+00  0.5235692E+07  0.4057733E+07
 0.1515000E+00  0.5049038E+07  0.3893570E+07
 0.1530000E+00  0.4875007E+07  0.3742480E+07
 0.1545000E+00  0.4714874E+07  0.3605508E+07
 0.1560000E+00  0.4569065E+07  0.3483009E+07
 0.1575000E+00  0.4437217E+07  0.3374735E+07
 0.1590000E+00  0.4318201E+07  0.3279805E+07
 0.1605000E+00  0.4210346E+07  0.3196891E+07
 0.1620000E+00  0.4111369E+07  0.3124218E+07
 0.1635000E+00  0.4018741E+07  0.3059765E+07
 0.1650000E+00  0.3929681E+07  0.3001322E+07
 0.1665000E+00  0.3841448E+07  0.2946634E+07
 0.1680000E+00  0.3751386E+07  0.2893476E+07
 0.1695000E+00  0.3657093E+07  0.2839746E+07
 0.1710000E+00  0.3556574E+07  0.2783656E+07
 0.1725000E+00  0.3448298E+07  0.2723618E+07
 0.1740000E+00  0.3331235E+07  0.2658504E+07
 0.1755000E+00  0.3204946E+07  0.2587448E+07
 0.1770000E+00  0.3069536E+07  0.2510088E+07
 0.1785000E+00  0.2925730E+07  0.2426420E+07
 0.1800000E+00  0.2774771E+07  0.2336829E+07
 0.1815000E+00  0.2618317E+07  0.2242037E+07
 0.1830000E+00  0.2458457E+07  0.2143027E+07
 0.1845000E+00  0.2297554E+07  0.2041119E+07
 0.1860000E+00  0.2138192E+07  0.1937750E+07
 0.1875000E+00  0.1982985E+07  0.1834466E+07
 0.1890000E+00  0.1834591E+07  0.1732884E+07
 0.1905000E+00  0.1695502E+07  0.1634616E+07
 0.1920000E+00  0.1568078E+07  0.1541211E+07
 0.1935000E+00  0.1454301E+07  0.1454100E+07
 0.1950000E+00  0.1355859E+07  0.1374527E+07
 0.1965000E+00  0.1274007E+07  0.1303532E+07
 0.1980000E+00  0.1209588E+07  0.1241905E+07
 0.1995000E+00  0.1162966E+07  0.1190224E+07
 0.2010000E+00  0.1134070E+07  0.1148817E+07
 0.2025000E+00  0.1122364E+07  0.1117760E+07
 0.2040000E+00  0.1126898E+07  0.1096856E+07
 0.2055000E+00  0.1146366E+07  0.1085715E+07
 0.2070000E+00  0.1179176E+07  0.1083741E+07
 0.2085000E+00  0.1223446E+07  0.1090149E+07
 0.2100000E+00  0.1277138E+07  0.1104047E+07
 0.2115000E+00  0.1338059E+07  0.1124436E+07
 0.2130000E+00  0.1404028E+07  0.1150255E+07
 0.2145000E+00  0.1472847E+07  0.1180405E+07
 0.2160000E+00  0.1542413E+07  0.1213807E+07
 0.2175000E+00  0.1610751E+07  0.1249371E+07
 0.2190000E+00  0.1676096E+07  0.1286080E+07
 0.2205000E+00  0.1736874E+07  0.1323004E+07
 0.2220000E+00  0.1791812E+07  0.1359310E+07
 0.2235000E+00  0.1839877E+07  0.1394255E+07
 0.2250000E+00  0.1880307E+07  0.1427195E+07
 0.2265000E+00  0.1912634E+07  0.1457615E+07
 0.2280000E+00  0.1936674E+07  0.1485106E+07
 0.2295000E+00  0.1952452E+07  0.1509361E+07
 0.2310000E+00  0.1960259E+07  0.1530173E+07
 0.2325000E+00  0.1960556E+07  0.1547422E+07
 0.2340000E+00  0.1953970E+07  0.1561068E+07
 0.2355000E+00  0.1941267E+07  0.1571105E+07
 0.2370000E+00  0.1923256E+07  0.1577611E+07
 0.2385000E+00  0.1900834E+07  0.1580706E+07
 0.2400000E+00  0.1874917E+07  0.1580501E+07
 0.2415000E+00  0.1846389E+07  0.1577151E+07
 0.2430000E+00  0.1816088E+07  0.1570779E+07
 0.2445000E+00  0.1784789E+07  0.1561566E+07
 0.2460000E+00  0.1753192E+07  0.1549644E+07
 0.2475000E+00  0.1721880E+07  0.1535172E+07
 0.2490000E+00  0.1691339E+07  0.1518290E+07
 0.2505000E+00  0.1661938E+07  0.1499151E+07
 0.2520000E+00  0.1633934E+07  0.1477857E+07
 0.2535000E+00  0.1607491E+07  0.1454539E+07
 0.2550000E+00  0.1582654E+07  0.1429339E+07
 0.2565000E+00  0.1559416E+07  0.1402389E+07
 0.2580000E+00  0.1537659E+07  0.1373850E+07
 0.2595000E+00  0.1517226E+07  0.1343857E+07
 0.2610000E+00  0.1497916E+07  0.1312604E+07
 0.2625000E+00  0.1479510E+07  0.1280264E+07
 0.2640000E+00  0.1461764E+07  0.1247059E+07
 0.2655000E+00  0.1444444E+07  0.1213220E+07
 0.2670000E+00  0.1427311E+07  0.1178989E+07
 0.2685000E+00  0.1410162E+07  0.1144620E+07
 0.2700000E+00  0.1392817E+07  0.1110377E+07
 0.2715000E+00  0.1375143E+07  0.1076526E+07
 0.2730000E+00  0.1357024E+07  0.1043322E+07
 0.2745000E+00  0.1338400E+07  0.1011055E+07
 0.2760000E+00  0.1319244E+07  0.9799393E+06
 0.2775000E+00  0.1299551E+07  0.9502216E+06
 0.2790000E+00  0.1279359E+07  0.9221053E+06
 0.2805000E+00  0.1258736E+07  0.8957763E+06
 0.2820000E+00  0.1237757E+07  0.8713639E+06
 0.2835000E+00  0.1216520E+07  0.8489602E+06
 0.2850000E+00  0.1195141E+07  0.8286272E+06
 0.2865000E+00  0.1173734E+07  0.8103922E+06
 0.2880000E+00  0.1152382E+07  0.7942333E+06
 0.2895000E+00  0.1131207E+07  0.7800812E+06
 0.2910000E+00  0.1110294E+07  0.7678245E+06
 0.2925000E+00  0.1089721E+07  0.7573221E+06
 0.2940000E+00  0.1069544E+07  0.7484032E+06
 0.2955000E+00  0.1049826E+07  0.7408824E+06
 0.2970000E+00  0.1030603E+07  0.7345288E+06
 0.2985000E+00  0.1011895E+07  0.7291114E+06
 0.3000000E+00  0.9937189E+06  0.7243916E+06
